,PRICE_DIFF,LSTM_B50_1_60k,LSTM_B50_2_65k,LSTM_B50_3_75k,LSTM_B50_Sharpe_14k,LSTM_B50_Dempster_55k,LSTM_B50_no_fees_1_70k,LSTM_B50_no_fees_2_65k,RNN_B50_1_70k,RNN_B50_2_60k,LSTM_B50_Stacked_N10_70k,LSTM_B50_Stacked_N20_70k,LSTM_B50_Stacked_N40_55k,SL_LSTM_B50_N30_50k,SL_RNN_B50_N30,SHOP_LSTM_B50_FEE20_68k,SHOP_RNN_B50_FEE20_60k,RECURRENT_LSTM_B50_REAL_FEE20_68k,RECURRENT_RNN_B50_REAL_FEE20_60k,RECURRENT_LSTM_B50_REAL_FEE20_SHAPRE_1k,RECURRENT_LSTM_B50_REAL_FEE20_Dempster025_1_50k,RECURRENT_LSTM_B50_REAL_FEE20_Dempster075_2_40k,RECURRENT_LSTM_B50_REAL_Stacked_adv_N20_1_59k,RECURRENT_LSTM_B50_REAL_Stacked_adv_N20_2_70k,RECURRENT_LSTM_B50_REAL_FEE20_Multi_0k,RECURRENT_LSTM_B50_REAL_FEE20_Sharpe_Sqrt,RECURRENT_LSTM_B50_REAL_FEE20_Multi_Dev_10k
2131,10192.299529167009,0.8232663869857789,0.2474532574415207,0.9042029976844788,0.006415535230189562,0.7099453210830688,0.9900578260421752,0.3590371310710907,0.8501861691474913,0.6653763055801393,0.9970499277114868,0.9970499277114868,0.9970499277114868,0.011319899000227451,0.13297688961029053,0.6278815269470216,0.7498722672462463,0.6278815269470216,0.7498722672462463,0.12783153355121613,0.998905599117279,0.02126017771661281,0.9996773600578306,0.8594646453857421,0.9999548792839048,-0.3645769655704498,0.999982595443726
2132,646.4318758331938,0.9898158311843874,0.968357503414154,0.9992801547050478,0.13979804515838626,0.9521782994270324,0.9999142289161684,0.99354487657547,0.9830235242843628,0.9797514677047728,0.9999969005584716,0.9999969005584716,0.9999969005584716,0.031172834336757656,0.01901734992861748,0.9809691309928894,0.9999688267707824,0.9809691309928894,0.9999688267707824,0.2022771388292313,0.9997876286506652,0.06810384988784791,0.9999947547912597,0.9999971389770508,0.9999548792839048,-0.3644989430904389,0.999982595443726
2133,-2813.5685925001744,0.9830061793327332,0.5420129299163818,0.7114863991737366,0.062478061765432365,0.9364149570465088,0.9361979961395264,0.8595305681228635,-0.06333136558532715,0.8982998132705688,-0.859916865825653,-0.859916865825653,-0.859916865825653,0.02346261963248253,0.09412401914596556,0.978496968746185,-0.5949915647506714,0.978496968746185,-0.5949915647506714,0.06299690902233124,0.9992932677268979,0.01305069588124752,-0.46624878048896795,0.4810099005699158,0.9999548792839048,-0.3646493852138519,0.999982595443726
2134,12582.232053500251,0.96322363615036,-0.19273136556148526,0.27843865752220154,0.0008480668184347451,0.7902384996414183,0.8286169171333313,-0.016079897060990334,0.7760994434356691,0.7289136648178101,0.7886998653411866,0.7886998653411866,0.7886998653411866,0.013919533230364323,0.11320511251688002,0.8436297178268432,0.9272700548171998,0.8436297178268432,0.9272700548171998,0.05473736301064491,0.9981288313865662,-0.00721700442954898,0.9981878995895384,-0.9503348469734192,0.9999548792839048,-0.36468401551246643,0.999982595443726
2135,12687.456063166494,0.998759627342224,0.9929946660995485,0.999869465827942,0.19041986763477325,0.9764831066131592,0.9999951720237734,0.9980056285858152,0.9998072385787966,0.9946412444114686,0.9999989271163942,0.9999989271163942,0.9999989271163942,0.04063613712787628,0.033693168312311166,0.998911440372467,0.9083580374717712,0.998911440372467,0.9083580374717712,0.2449497580528259,0.9998335242271424,0.09317371249198912,0.9999966025352478,0.9999704360961912,0.9999548792839048,-0.36451312899589533,0.999982595443726
2136,5901.822946833448,0.9997904300689698,0.9987611770629882,0.9998160004615784,0.2467886209487915,0.993280827999115,0.9999933242797852,0.9995049834251404,0.9683766365051266,0.9921350479125978,0.999996542930603,0.999996542930603,0.999996542930603,0.05346190184354783,0.07616258412599564,0.999990820884704,0.9987806677818298,0.999990820884704,0.9987806677818298,0.19254043698310846,0.9998974204063416,0.10698606073856352,0.9999656081199646,0.9999999403953552,0.9999548792839048,-0.36457380652427673,0.999982595443726
2137,-887.5355613331776,0.9997751712799072,0.9967054128646848,0.9991416931152346,0.1897198259830475,0.9898868203163148,0.9999655485153198,0.9970424175262452,0.9098679423332214,0.9765588641166688,0.2704919576644897,0.2704919576644897,0.2704919576644897,0.045616492629051215,0.09787739068269727,0.9999949336051942,0.9896447658538818,0.9999949336051942,0.9896447658538818,0.1214069351553917,0.9997828602790833,0.09461192786693573,0.9999482631683346,0.9998324513435364,0.9999548792839048,-0.36468794941902155,0.999982595443726
2138,-7807.818006500135,0.9992151856422424,0.9629903435707092,0.9839128851890566,0.08405648916959763,0.9700082540512084,0.999281883239746,0.8602176308631898,0.9802200198173524,0.956353485584259,0.916832625865936,0.9168326258659362,0.916832625865936,0.030134409666061405,0.07027335464954376,0.9997891783714294,0.9988674521446228,0.9997891783714294,0.9988674521446228,0.08555581420660019,0.9991373419761655,0.059095371514558785,0.9344772696495056,0.9154033064842224,0.9999548792839048,-0.36477318406105036,0.999982595443726
2139,-3022.697253166931,0.9931595921516418,0.022247338667511937,-0.14485006034374234,-0.048368841409683234,0.8456286787986755,0.9427608251571654,-0.8666065931320192,0.5453740954399109,0.751202940940857,-0.8943620324134826,-0.8943620324134826,-0.8943620324134826,0.012920914217829704,-0.005465171765536071,0.8938016891479491,-0.9967018961906432,0.8938016891479491,-0.9967018961906432,0.04491487517952919,0.9923161268234254,-0.007757974322885273,-0.7358039617538451,-0.9986761808395384,0.9999548792839048,-0.3647631704807282,0.999982595443726
2140,14553.957562833442,0.9934117794036862,0.31855303049087524,-0.0309999119490385,-0.017453499138355255,0.8090632557868956,0.8403773903846739,-0.3731679320335388,0.9643415212631224,0.7353282570838927,0.6990503072738647,0.6990503072738647,0.6990503072738647,0.01821938157081604,0.12833587825298307,0.9013122916221618,-0.5264053940773009,0.9013122916221618,-0.5264053940773009,0.12923234701156616,0.9958168268203738,-0.019143795594573014,0.022883588448166847,-0.7598801851272582,0.9999548792839048,-0.36454057693481445,0.999982595443726
